Pvm	Työpäivä?	Tehtäväryhmä	Tehtyjen töiden kuvaus ja kulut	Tunnit yht.	Työaikaa	Norm. tunnit (ei ylitöitä, ei lisiä)	Provisiopalkka																		
17.1.2009																									
18.1.2009																									
19.1.2009																									
20.1.2009																									
21.1.2009																									
22.1.2009																									
23.1.2009																									
24.1.2009																									
25.1.2009																									
26.1.2009			9-15	6	6	6																			
27.1.2009			9-15	6	6	6		Oletus: tuntipalkka on 10 euroa / tunti																	
28.1.2009			9-16:30	7,5	7,5	7,5																			
29.1.2009			9-14:30	5,5	5,5	5,5																			
30.1.2009			9-14	5	5	5																			
31.1.2009			9-14:45	5,75	5,75	5,75																			
1.2.2009			9-15	6	6	6																			
2.2.2009			9-15	6	6	6																			
3.2.2009			9-16:30	7,5	7,5	7,5																			
4.2.2009			9-14:30	5,5	5,5	5,5																			
5.2.2009			9-14	5	5	5																			
6.2.2009			9-14:45	5,75	5,75	5,75																			
7.2.2009			9-15	6	6	6																			
8.2.2009			9-15	6	6	6																			
9.2.2009			9-16:30	7,5	7,5	7,5																			
10.2.2009			9-14:30	5,5	5,5	5,5																			
11.2.2009			9-14	5	5	5																			
12.2.2009			9-14:45	5,75	5,75	5,75																			
13.2.2009																									
14.2.2009																									
15.2.2009																									
16.2.2009			9-15	6	6	6																			
17.2.2009			9-15	6	6	6																			
18.2.2009			9-16:30	7,5	7,5	7,5																			
19.2.2009			9-14:30	5,5	5,5	5,5																			
20.2.2009			9-14	5	5	5																			
21.2.2009			9-14:45	5,75	5,75	5,75																			
22.2.2009			9-15	6	6	6																			
23.2.2009			9-15	6	6	6																			
24.2.2009			9-16:30	7,5	7,5	7,5																			
25.2.2009			9-14:30	5,5	5,5	5,5																			
26.2.2009			9-14	5	5	5																			
27.2.2009			9-14:45	5,75	5,75	5,75																			
28.2.2009			9-15	6	6	6																			
1.3.2009			9-15	6	6	6																			
2.3.2009			9-16:30	7,5	7,5	7,5																			
3.3.2009			9-14:30	5,5	5,5	5,5																			
4.3.2009			9-14	5	5	5																			
5.3.2009			9-14:45	5,75	5,75	5,75																			
6.3.2009			9-15	6	6	6																			
7.3.2009			9-15	6	6	6																			
8.3.2009			9-16:30	7,5	7,5	7,5																			
9.3.2009			9-14:30	5,5	5,5	5,5																			
10.3.2009			9-14	5	5	5																			
11.3.2009			9-14:45	5,75	5,75	5,75																			
12.3.2009			9-14:30	5,5	5,5	5,5																			
13.3.2009			9-14	5	5	5																			
14.3.2009			9-14:45	5,75	5,75	5,75																			
15.3.2009																									
16.3.2009			9-15	6	6	6																			
17.3.2009			9-15	6	6	6																			
18.3.2009			9-16:30	7,5	7,5	7,5																			
19.3.2009			9-14:30	5,5	5,5	5,5																			
20.3.2009			9-14	5	5	5																			
21.3.2009			9-14:45	5,75	5,75	5,75																			
22.3.2009																									
23.3.2009																									
24.3.2009			9-15	6	6	6																			
25.3.2009			9-15	6	6	6																			
26.3.2009			9-16:30	7,5	7,5	7,5																			
27.3.2009			9-14:30	5,5	5,5	5,5																			
28.3.2009			9-14	5	5	5																			
29.3.2009			9-14:45	5,75	5,75	5,75																			
30.3.2009																									
31.3.2009																									
1.4.2009			9-15	6	6	6																			
2.4.2009																									
3.4.2009																									
4.4.2009			9-15	6	6	6																			
5.4.2009			9-16:30	7,5	7,5	7,5																			
7.4.2009			9-14:30	5,5	5,5	5,5																			
8.4.2009			9-14	5	5	5																			
9.4.2009			9-14:45	5,75	5,75	5,75																			
10.4.2009	Arkipyhäkorvaukset			7,5																					
11.4.2009			9-16:30	7,5	7,5	7,5																			
13.4.2009	Arkipyhäkorvaukset			7,5																					
14.4.2009			9-16:30	7,5	7,5	7,5																			
15.4.2009			9-16:30	7,5	7,5	7,5																			
17.4.2009			9-14	5	5	5																			
18.4.2009			9-15	6	6	6																			
20.4.2009			9-15	6	6	6																			
21.4.2009			9-14	5	5	5																			
23.4.2009			9-14	5	5	5																			
24.4.2009			9-14	5	5	5																			
25.4.2009			9-16:30	7,5	7,5	7,5																			
27.4.2009			9-15	6	6	6																			
28.4.2009			9-15:30	6,5	6,5	6,5																			
29.4.2009			9-15	6	6	6	83,00 €																		
1.5.2009	Arkipyhäkorvaukset			7,5																					
2.5.2009			9-15	6	6	6																			
3.5.2009			9-15	6	6	6																			
4.5.2009			9-14:45	5,75	5,75	5,75																			
5.5.2009			9-15	6	6	6																			
6.5.2009			9-14	5	5	5																			
7.5.2009			9-15	6	6	6																			
8.5.2009			9-16:30	7,5	7,5	7,5																			
11.5.2009			9-15	6	6	6																			
12.5.2009			9-16:30	7,5	7,5	7,5																			
14.5.2009			9-13	4	4	4																			
15.5.2009			9-15	6	6	6	65,00 €																		
16.5.2009			9-15	6	6	6																			
18.5.2009			9-16:30	7,5	7,5	7,5																			
19.5.2009			9-14	5	5	5																			
20.5.2009			9-14	5	5	5																			
21.5.2009	Arkipyhäkorvaukset			7,5																					
23.5.2009			9-16:30	7,5	7,5	7,5																			
24.5.2009			9-16:30	7,5	7,5	7,5																			
25.5.2009			9-15	6	6	6																			
26.5.2009			9-14	5	5	5																			
27.5.2009			9-14	5	5	5																			
28.5.2009			9-16:30	7,5	7,5	7,5																			
29.5.2009			9-15	6	6	6																			
30.5.2009			9-16:30	7,5	7,5	7,5																			
1.6.2009			9-16:30	7,5	7,5	7,5																			
4.6.2009			9-16:30	7,5	7,5	7,5																			
5.6.2009			9-15	6	6	6																			
6.6.2009			9-15	6	6	6																			
7.6.2009			9-15	6	6	6																			
8.6.2009			9-15:30	6,5	6,5	6,5																			
9.6.2009			9-14	5	5	5																			
11.6.2009			9-15:45	6,75	6,75	6,75																			
12.6.2009			9-15:30	6,5	6,5	6,5																			
13.6.2009			9-16:30	7,5	7,5	7,5																			
15.6.2009			9-16:30	7,5	7,5	7,5																			
16.6.2009			9-16:30	7,5	7,5	7,5																			
17.6.2009			9-16:30	7,5	7,5	7,5																			
18.6.2009			9-16:30	7,5	7,5	7,5																			
19.6.2009	Arkipyhäkorvaukset			7,5																					
23.6.2009			9-16:30	7,5	7,5	7,5																			
24.6.2009			9-16:30	7,5	7,5	7,5																			
25.6.2009			9-16:30	7,5	7,5	7,5																			
